Username	Machine	Creation_date
cenaalo	ARC2	2017-07-03 12:29:47.0
cenaalo	ARC3	2017-07-03 12:29:51.0
cenakh	ARC1	2010-02-10 12:03:18.307
cenakh	ARC2	2014-02-19 09:14:03.33
cenakh	ARC3	2017-04-10 17:10:06.0
cenarc	ARC1	2012-07-05 09:15:45.0
cencag	ARC1	2010-02-10 12:03:27.277
cencag	ARC2	2014-01-08 17:01:05.783
cendy	ARC1	2012-06-15 12:51:56.0
cenfl	ARC1	2016-10-17 14:41:17.0
cenfl	ARC2	2016-10-17 14:41:06.0
cenjspa	ARC2	2018-01-05 14:23:34.007
cenjspa	ARC3	2018-01-05 14:23:37.933
cenkdt	ARC1	2012-09-06 13:15:42.0
cenmg	ARC1	2014-10-22 09:14:48.0
cenmg	ARC2	2014-10-22 09:14:55.0
cenmk	ARC1	2013-09-24 09:45:25.0
cenmk	ARC2	2014-01-13 12:56:09.63
cenmk	ARC3	2017-04-13 11:18:30.0
cenng	ARC1	2013-08-02 17:18:22.0
cennn	ARC1	2012-09-06 13:17:31.0
cennsa	ARC2	2018-01-04 08:20:45.0
cennsa	ARC3	2018-01-04 08:20:53.353
cenpas	ARC1	2010-02-10 12:03:08.777
cenpas	ARC2	2014-01-16 08:18:28.433
cenpas	ARC3	2017-06-09 15:34:32.0
cenrf	ARC1	2015-07-07 08:56:10.0
cenrf	ARC2	2015-07-07 08:56:17.0
censalm	ARC2	2017-11-03 16:57:13.143
censalm	ARC3	2017-11-03 16:57:20.183
censjr	ARC1	2015-09-21 07:56:12.0
censjr	ARC2	2015-09-21 07:56:15.0
censjr	ARC3	2017-03-29 10:33:52.0
censlu	ARC1	2016-06-29 14:18:44.0
censlu	ARC2	2016-06-29 14:18:47.0
censlu	MARC1	2016-12-14 17:24:10.61
censsar	ARC1	2013-11-06 16:01:06.207
censsar	ARC2	2014-02-10 11:36:02.017
cenxm	ARC1	2015-09-18 16:59:09.0
cenxm	ARC2	2015-09-18 16:59:12.0
chenk	ARC1	2011-07-14 15:50:06.0
cherbh	ARC1	2010-02-10 12:28:12.987
cherbh	ARC2	2016-07-11 17:17:28.0
chermw	ARC1	2011-08-12 12:45:06.0
chermw	ARC2	2014-03-18 12:42:15.22
chevr	ARC1	2010-02-10 12:29:22.483
chm3rh	ARC1	2012-11-23 17:25:46.343
chm4das	ARC1	2011-02-18 12:19:10.89
chm4mlp	ARC1	2011-08-24 10:04:34.0
chm6bjw	ARC1	2011-04-21 10:40:39.0
chm6bjw	ARC2	2014-01-08 17:01:16.86
chm6bjw	ARC3	2017-05-19 14:23:17.0
chmagd	ARC1	2016-09-07 10:26:11.0
chmagd	ARC2	2016-09-07 10:26:18.0
chmagd	ARC3	2017-05-24 17:12:43.0
chmba	ARC1	2013-06-12 11:28:40.0
chmbnn	ARC1	2013-12-05 14:25:05.66
chmbnn	ARC2	2014-01-13 12:56:47.143
