Username	Machine	Username_status	lapse_date	status	Dept	Faculty
pmir	ARC1	d	2016-06-02 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmir	ARC2	d	2016-06-02 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmis	ARC1	d	2011-02-01 08:38:31.637	P/G	PRE	Faculty of Engineering
pmjf	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmjf	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmjlab	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmjlab	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmjrqo	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmjrqo	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmjzha	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmjzha	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmjzha	ARC1	l	2017-06-16 14:58:27.0	P/G	PRE	Faculty of Engineering
pmjzhai	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmjzhai	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmjzhai	ARC1	l	2017-06-16 14:58:27.0	P/G	PRE	Faculty of Engineering
pmkab	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmkab	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmkar	ARC1	d	2010-07-15 00:00:00.0	P/G	PRE	Faculty of Engineering
pmkjl	ARC1	d	2013-02-11 00:00:00.0	Alumni	PRE	Faculty of Engineering
pmkr	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmkr	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmkr	ARC1	l	2017-06-16 14:58:27.0	P/G	PRE	Faculty of Engineering
pmkra	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmkra	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmkra	ARC1	l	2017-06-16 14:58:27.0	P/G	PRE	Faculty of Engineering
pmksa	ARC1	l	2017-06-16 14:58:27.0	P/G	PRE	Faculty of Engineering
pmksa	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmksa	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmlac	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmlac	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmlac	ARC1	l	2017-06-16 14:58:27.0	P/G	PRE	Faculty of Engineering
pmlfm	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmlfm	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmlfm	ARC1	l	2017-06-16 14:58:27.0	P/G	PRE	Faculty of Engineering
pmljrh	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmljrh	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
